,종목코드,기업명,상장일
177,018500,동원금속,1995-11-10
178,006040,동원산업,1989-03-07
179,030720,동원수산,1996-11-22
180,014820,동원시스템즈,1994-03-29
181,163560,동일고무벨트,2012-10-19
182,004890,동일산업,2005-06-30
183,002690,동일제강,2015-09-24
184,000020,동화약품,1976-03-24
185,000150,두산,1973-06-29
186,042670,두산인프라코어,2001-02-02
187,034020,두산중공업,2000-10-25
188,024090,디씨엠,1999-08-18
189,003160,디아이,1996-07-31
190,001530,디아이동일,1964-01-04
191,092200,디아이씨,2007-10-18
192,013570,디와이,1989-05-30
193,210540,디와이파워,2015-01-15
194,026890,디피씨,1997-11-25
195,115390,락앤락,2010-01-28
196,032350,롯데관광개발,2006-06-08
197,000400,롯데손해보험,1971-04-16
198,004000,롯데정밀화학,1976-04-15
199,011170,롯데케미칼,1991-05-30
200,071840,롯데하이마트,2011-06-29
201,001080,만호제강,1977-06-18
202,088980,맥쿼리인프라,2006-03-15
203,094800,맵스리얼티1,2007-04-09
204,138040,메리츠금융지주,2011-05-13
205,008560,메리츠종금증권,1992-01-15
206,000060,메리츠화재,1956-07-02
207,017180,명문제약,2008-07-10
208,012690,모나리자,1988-10-14
209,005360,모나미,1974-06-26
210,009680,모토닉,1994-01-14
211,009580,무림P&P,1989-06-20
212,009200,무림페이퍼,1990-06-09
213,033920,무학,2010-07-20
214,008420,문배철강,1994-11-05
215,025560,미래산업,1996-11-22
216,006800,미래에셋대우,1975-09-30
217,085620,미래에셋생명,2015-07-08
218,134380,미원화학,2011-02-15
219,003650,미창석유공업,1989-09-27
220,001340,백광산업,1976-06-10
221,014580,백광소재,1991-03-07
222,035150,백산,1999-08-11
223,096300,베트남개발1,2007-06-13
224,007210,벽산,1972-01-04
225,000890,보해양조,1988-09-23
226,003000,부광약품,1988-08-05
227,001270,부국증권,1988-07-19
228,026940,부국철강,2008-10-14
229,015350,부산도시가스,1997-06-23
230,005030,부산주공,1975-12-26
231,100220,비상교육,2008-06-30
232,005180,빙그레,1978-08-31
233,003960,사조대림,1976-09-16
234,008040,사조동아원,1989-06-24
235,007160,사조산업,1989-07-25
236,014710,사조씨푸드,2012-06-29
237,006090,사조오양,1986-12-24
238,006400,삼성SDI,1979-02-27
239,006660,삼성공조,1987-11-28
240,028260,삼성물산,2014-12-18
241,032830,삼성생명,2010-05-12
242,018260,삼성에스디에스,2014-11-14
243,009150,삼성전기,1979-02-27
244,001360,삼성제약,1975-07-04
245,010140,삼성중공업,1994-01-28
246,016360,삼성증권,1988-03-28
247,068290,삼성출판사,2002-08-05
248,029780,삼성카드,2007-06-27
249,000810,삼성화재해상보험,1975-06-30
250,006110,삼아알미늄,1980-12-05
251,145990,삼양사,2011-12-05
252,003230,삼양식품,1975-06-30
253,002170,삼양통상,1989-11-10
254,000070,삼양홀딩스,1968-12-27
255,002810,삼영무역,1988-03-28
256,005680,삼영전자공업,1976-12-28
257,003720,삼영화학공업,1976-06-30
258,023000,삼원강재,2011-07-22
259,004380,삼익THK,1989-09-26
260,002450,삼익악기,1988-09-30
261,000520,삼일제약,1985-05-29
262,009770,삼정펄프,2006-10-17
263,005500,삼진제약,1988-06-18
264,004690,삼천리,1976-12-23
265,001880,삼호,1977-12-22
266,010960,삼호개발,2005-05-12
267,004450,삼화왕관,1976-05-28
268,009470,삼화전기,1986-11-24
269,001820,삼화콘덴서공업,1976-06-26
270,000390,삼화페인트공업,1993-09-10
271,041650,상신브레이크,2004-10-27
272,075180,새론오토모티브,2005-10-21
273,007860,서연,1989-09-09
274,200880,서연이화,2014-08-08
275,017390,서울도시가스,1995-08-18
276,021050,서원,1996-01-30
277,008490,서흥,1990-03-27
278,007610,선도전기,1989-11-30
279,136490,선진,2011-02-16
280,002820,선창산업,1976-05-22
281,014910,성문전자,1990-03-24
282,004980,성신양회,1976-06-30
283,011300,성안,1995-11-10
